제목,작성자,작성일,뉴스내용
"북한 미사일에 미 ""동맹 방어 전념""...대이란 작전엔 동맹 참여 압박",홍상희,2026. 8. 21. 09:37,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
"8월 중순 수출 56%↑…반도체 비중 47.2%, 역대 최고(종합)",안채원,2026. 8. 21. 09:31,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
베선트 '바이백 총력전'…40조달러 부채에 금리 재상승(종합),뉴욕(미국)=황윤주,2026. 8. 21. 09:10,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
"AI데이터센터 주민 불만, 美 중간선거 쟁점으로[글로벌AI브리핑]",이구순,2026. 8. 21. 09:09,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
"사상 최고치 찍었는데 전문가들 ""더 오른다""…AI 시대 주목받는 원자재는",송화정,2026. 8. 21. 08:19,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
"""8·13 대책, 그래서 대출 나온다고?""...2030 '영끌' 전략은[집 나와라 뚝딱!]",전민경,2026. 8. 21. 08:02,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
與복기왕 “지역주택조합·리모델링 규제 함께 푼다…도심 주택공급 속도”,양대근,2026. 8. 21. 07:53,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
트럼프 '러브콜'에도 미사일 10여 발⋯북한은 또 침묵,최민성,2026. 8. 21. 07:18,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
"SK하이닉스, 40조+10조 자사주 추가 매입…노사 합의로 ‘주주가치 선순환’",구경우 기자,2026. 8. 21. 07:01,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
마라에 빠져 직장 박차고 떠난 중국... 부산 '성지' 된 라라관의 비밀,2026. 8. 21. 04:31,2026. 8. 21. 04:31,"[앵커]
북한의 탄도미사일 도발에 미국은 위협이 안 된다고 평가하면서 동맹국 방어에 전념하고 있다고 강조했습니다.
대이란 경제 고립 작전에 대해서는 미국의 편인지 아닌지 선택하라며 동맹국에 동참을 압박했습니다.
워싱턴 홍상희 특파원입니다.
[기자]
북한의 단거리 탄도미사일 발사 하루 만에 미 태평양사령부가 성명을 발표했습니다.
미 태평양사령부는 북한의 미사일 발사가 미국이나 동맹국들에게 즉각적인 위협이 되지 않는다고 밝혔습니다.
또 미국 본토와 동맹국 방어에 전념하고 있다고 덧붙였습니다.
도널드 트럼프 대통령이 한미군사훈련까지 대폭 축소하며 대화의 손길을 내민 직후 북한이 미사일로 응답하자 동맹 방어를 다시 강조한 겁니다.
대이란 전쟁에선 동맹국을 다시 압박하고 있습니다.
스콧 베선트 미 재무장관은 오는 24일 대이란 경제압박 계획을 공개하겠다며 세계 역사상 가장 강력하게 공조한 작전이 될 것이라고 예고했습니다.
그러면서 이제 동맹국이 결정을 내려야 할 시점이라면서 미국의 편인지, 아니면 미국에 맞설 것인지 양자택일 하라며 동참을 압박했습니다.
베선트 장관은 또 대이란 경제제재가 대규모 확전으로 이어질 가능성은 작다면서 이번 작전으로 유가가 내려갈 거라고 주장했습니다.
[스콧 베선트 / 미국 재무부 장관 : 우리가 발표한 건 경제적 조치에 관한 것입니다. 그 경제적 조치로 인해 유가가 더 빨리 내려갈 것이라고 생각합니다.]
앞서 트럼프 대통령은 동맹국 뿐 아니라 이란과 거래하는 제3국도 막대한 경제적 대가를 치르게 될 거라고 경고했습니다.
[도널드 트럼프 / 미국 대통령(현지시간 19일) : 우리가 제재할 수 있는 수단이 있습니다. 매우 강력한 제재 수단이 마련되어 있으니, 어떻게 될지 지켜보겠습니다]
트럼프 행정부의 동맹국에 대한 오락가락한 태도에 정치권의 비판도 이어지고 있습니다. 한국계 데이브 민 하원의원은 트럼프 대통령이 가장 가까운 동맹국을 소외시키고 평화를 위태롭게 하고 있다고 지적했습니다.
워싱턴에서 YTN 홍상희입니다.
촬영 : 강연오
YTN 홍상희 (san@ytn.co.kr)
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr
[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]"
