order_id,customer_id,order_dt,category,unit_price,quantity,discount_rate,is_member,payment_type,gross_amount,net_amount
1,103,2025-05-27,Electronics,87.37,21,0.0,Y,card,1834.77,1834.77
2,436,2025-04-28,Beauty,114.15,45,0.05,Y,card,5136.75,4879.91
3,271,2025-06-01,Fashion,99.25,38,0.1,Y,card,3771.5,3394.35
4,107,2025-03-13,Grocery,,20,0.15,Y,card,1726.2,"₩1,467.27"
5,72,2025-12-29,Fashion,63.58,62,0.05,Y,card,3941.96,3744.86
6,701,2025-05-17,Grocery,86.41,79,0.1,Y,bank,6826.39,6143.75
7,21,2025-06-24,Fashion,33.84,94,0.0,Y,card,3180.96,3180.96
8,615,2025-10-16,Fashion,54.57,83,0.05,Y,card,4529.31,"₩4,302.84"
9,122,2025-01-19,Fashion,121.21,56,0.2,N,card,6787.76,5430.21
10,467,2025-07-14,Grocery,,42,0.0,N,card,5004.72,5004.72
11,215,2025-11-26,Electronics,109.7,90,0.05,Y,card,9873.0,9379.35
12,331,2025-06-24,Grocery,131.61,76,0.1,Y,card,10002.36,"₩9,002.12"
13,459,2025-12-20,Grocery,91.91,52,0.1,Y,card,4779.32,4301.39
14,88,2025-05-21,Electronics,114.19,27,0.05,N,card,3083.13,2928.97
15,373,2025-09-03,Electronics,151.35,83,0.0,N,,12562.05,12562.05
16,100,2025-04-03,Fashion,62.25,62,0.05,N,card,3859.5,3666.52
17,664,2025-08-27,Grocery,40.74,48,0.0,N,card,1955.52,1955.52
18,131,2025-07-24,Electronics,42.28,81,0.1,N,card,3424.68,3082.21
19,662,2025-02-17,Fashion,112.97,43,0.05,Y,card,4857.71,4614.82
20,309,2025-09-02,Grocery,219.29,46,0.15,N,card,10087.34,8574.24
21,770,2025-11-16,Grocery,120.55,50,0.0,N,card,6027.5,6027.5
22,344,2025-11-13,Fashion,46.58,58,0.05,Y,card,2701.64,2566.56
23,492,2025-10-22,Fashion,54.33,19,0.05,Y,card,1032.27,980.66
24,414,2025-05-08,Grocery,99.83,49,0.0,Y,card,4891.67,4891.67
25,386,2025-12-10,Beauty,45.13,27,0.05,Y,card,1218.51,1157.58
26,192,2025-10-09,Beauty,79.16,34,,N,card,2691.44,2691.44
27,277,2025-01-17,Grocery,,50,0.0,N,bank,3097.5,"₩3,097.50"
28,161,2025-03-12,Fashion,,45,0.0,Y,wallet,3769.2,3769.2
29,460,2025-09-26,Fashion,,11,0.0,Y,bank,712.25,712.25
30,314,2025-11-21,Electronics,85.12,92,0.15,N,card,7831.04,6656.38
31,22,2025-10-09,Electronics,98.45,83,0.0,Y,card,8171.35,8171.35
32,253,2025-11-01,Grocery,89.01,58,,Y,card,5162.58,4388.19
33,748,2025-01-07,Fashion,57.64,76,0.05,Y,card,4380.64,4161.61
34,561,2025-11-10,Fashion,63.71,62,0.05,N,card,3950.02,3752.52
35,475,2025-11-01,Beauty,115.06,28,0.05,N,card,3221.68,3060.6
36,59,2025-04-13,Electronics,12.5,35,0.15,Y,card,437.5,₩371.88
37,511,2025-11-05,Electronics,95.14,63,0.1,Y,card,5993.82,5394.44
38,682,2025-07-12,Electronics,17.17,60,0.2,Y,card,1030.2,824.16
39,476,2025-08-29,Grocery,58.13,34,0.1,Y,card,1976.42,1778.78
40,700,2025-03-03,Grocery,137.61,26,0.0,N,card,3577.86,"₩3,577.86"
41,783,2025-01-17,Fashion,107.81,83,0.2,Y,card,8948.23,7158.58
42,190,2025-06-20,Fashion,31.43,70,0.2,Y,card,2200.1,1760.08
43,687,2025-01-25,Grocery,51.96,55,0.0,N,card,2857.8,2857.8
44,563,2025-09-08,Grocery,103.47,64,0.15,Y,card,6622.08,5628.77
45,567,2025-09-10,Beauty,112.49,59,0.1,N,,6636.91,"₩5,973.22"
46,244,2025-07-26,Grocery,29.98,84,0.15,Y,card,2518.32,2140.57
47,505,2025-01-29,Grocery,11.88,20,0.15,Y,card,237.6,201.96
48,131,2025-04-27,Electronics,52.27,21,0.15,N,bank,1097.67,₩933.02
49,485,2025-10-09,Electronics,57.1,49,0.15,Y,wallet,2797.9,2378.22
50,647,2025-05-24,Electronics,40.44,57,0.0,Y,wallet,2305.08,2305.08
51,21,2025-01-25,Grocery,70.39,65,0.0,Y,card,4575.35,4575.35
52,167,2025-11-06,Grocery,70.68,17,0.0,Y,card,1201.56,"₩1,201.56"
53,274,2025-06-05,Fashion,96.69,97,0.0,N,card,9378.93,9378.93
54,388,2025-03-14,Electronics,48.31,23,0.05,Y,wallet,1111.13,1055.57
55,601,2025-04-30,Fashion,20.31,96,0.1,Y,bank,1949.76,1754.78
56,316,2025-11-08,Beauty,64.45,65,0.05,N,bank,4189.25,3979.79
57,14,2025-11-17,Grocery,27.77,63,0.1,Y,card,1749.51,1574.56
58,242,2025-04-03,Grocery,97.12,26,0.15,N,card,2525.12,2146.35
59,777,2025-03-27,Grocery,115.24,54,,Y,card,6222.96,5600.66
60,346,2025-12-02,Beauty,65.85,14,0.05,Y,wallet,921.9,875.8
61,565,2025-12-30,Grocery,45.78,12,0.0,Y,card,549.36,549.36
62,340,2025-04-28,Grocery,44.35,18,0.0,Y,,798.3,798.3
63,92,2025-08-21,Electronics,105.97,93,0.05,Y,card,9855.21,9362.45
64,367,2025-07-18,Electronics,91.57,29,0.1,Y,bank,2655.53,2389.98
65,455,2025-07-25,Fashion,103.99,92,0.05,N,card,9567.08,9088.73
66,428,2025-12-05,Electronics,76.76,30,0.1,Y,bank,2302.8,2072.52
67,509,2025-05-27,Beauty,52.87,89,0.0,Y,card,4705.43,4705.43
68,776,2025-09-28,Fashion,38.04,42,,Y,card,1597.68,1597.68
69,35,2025-05-19,Beauty,127.11,14,0.1,Y,card,1779.54,"₩1,601.59"
70,206,2025-06-30,Fashion,60.8,33,0.0,Y,bank,2006.4,2006.4
71,81,2025-01-30,Fashion,157.41,72,0.1,Y,bank,11333.52,10200.17
72,562,2025-02-26,Beauty,93.57,88,0.15,N,card,8234.16,6999.04
73,388,2025-08-20,Fashion,219.03,35,0.0,Y,card,7666.05,7666.05
74,2,2025-05-26,Fashion,52.83,98,0.05,Y,card,5177.34,"₩4,918.47"
75,390,2025-02-17,Electronics,169.08,42,0.1,Y,,7101.36,6391.22
76,566,2025-07-13,Grocery,171.49,27,0.1,Y,,4630.23,"₩4,167.21"
77,106,2025-08-12,Fashion,79.83,27,0.0,N,card,2155.41,2155.41
78,772,2025-05-16,Grocery,45.63,47,0.15,Y,card,2144.61,1822.92
79,477,2025-01-22,Grocery,52.72,42,0.0,Y,card,2214.24,2214.24
80,703,2025-01-06,Grocery,38.68,36,,Y,bank,1392.48,1322.86
81,402,2025-07-23,Grocery,57.78,58,0.05,N,wallet,3351.24,3183.68
82,730,2025-08-27,Fashion,57.29,59,0.0,Y,card,3380.11,3380.11
83,556,2025-07-04,Fashion,114.35,24,0.0,N,card,2744.4,2744.4
84,162,2025-12-26,Grocery,58.14,86,0.0,Y,bank,5000.04,5000.04
85,202,2025-10-19,Fashion,68.41,61,0.05,Y,card,4173.01,3964.36
86,270,2025-12-01,Fashion,112.47,77,0.0,N,card,8660.19,"₩8,660.19"
87,271,2025-08-08,Fashion,81.14,28,0.15,Y,bank,2271.92,1931.13
88,456,2025-04-26,Beauty,171.24,34,0.0,Y,bank,5822.16,5822.16
89,462,2025-11-09,Fashion,35.57,85,0.15,Y,bank,3023.45,"₩2,569.93"
90,727,2025-02-18,Fashion,107.6,85,0.15,Y,card,9146.0,7774.1
91,252,2025-06-22,Grocery,88.7,34,0.05,Y,card,3015.8,"₩2,865.01"
92,702,2025-03-23,Grocery,21.02,42,0.05,Y,card,882.84,838.7
93,296,2025-11-18,Electronics,32.46,69,0.0,Y,card,2239.74,2239.74
94,725,2025-11-29,Fashion,97.16,46,0.2,Y,card,4469.36,3575.49
95,720,2025-02-14,Grocery,121.97,52,0.1,N,card,6342.44,5708.2
96,749,2025-12-01,Beauty,21.87,18,0.2,Y,card,393.66,314.93
97,338,2025-01-20,Grocery,141.71,23,0.05,Y,card,3259.33,3096.36
98,53,2025-08-09,Fashion,51.85,12,0.15,N,bank,622.2,528.87
99,792,2025-05-03,Electronics,152.71,78,0.05,Y,card,11911.38,11315.81
100,217,2025-08-22,Beauty,113.33,65,0.15,N,card,7366.45,6261.48
101,764,2025-08-09,Grocery,93.78,35,,N,card,3282.3,"₩3,282.30"
102,188,2025-11-19,Electronics,74.5,62,0.1,N,card,4619.0,4157.1
103,380,2025-12-05,Electronics,85.39,50,0.1,Y,card,4269.5,3842.55
104,493,2025-01-03,Grocery,86.27,91,0.1,N,bank,7850.57,7065.51
105,41,2025-07-01,Fashion,103.39,30,0.05,N,card,3101.7,"₩2,946.62"
106,157,2025-07-25,Fashion,75.6,48,0.1,N,card,3628.8,3265.92
107,15,2025-11-16,Electronics,114.26,89,0.0,Y,card,10169.14,10169.14
108,65,2025-02-09,Fashion,91.38,32,0.05,N,card,2924.16,2777.95
109,521,2025-02-28,Fashion,61.69,83,0.05,N,card,5120.27,4864.26
110,344,2025-03-03,Grocery,90.15,67,0.0,Y,bank,6040.05,6040.05
