,sensor_id,ts,temp_c,hum_pct,vibration
0,S01,2025-02-01 00:00:00,25.27,43.38,0.785
1,S01,2025-02-01 01:00:00,18.95,50.74,0.962
2,S01,2025-02-01 02:00:00,20.6,45.25,0.073
3,S01,2025-02-01 03:00:00,21.87,39.5,1.555
4,S01,2025-02-01 04:00:00,18.43,40.36,1.074
5,S01,2025-02-01 05:00:00,20.96,49.78,1.401
6,S01,2025-02-01 06:00:00,21.1,46.81,1.408
7,S01,2025-02-01 07:00:00,15.99,57.89,
8,S01,2025-02-01 08:00:00,24.45,47.0,0.493
9,S01,2025-02-01 09:00:00,23.35,43.95,2.468
10,S01,2025-02-01 10:00:00,19.82,34.08,0.543
11,S01,2025-02-01 11:00:00,21.34,37.74,2.181
12,S01,2025-02-01 12:00:00,23.52,48.67,3.174
13,S01,2025-02-01 13:00:00,21.37,48.19,0.848
14,S01,2025-02-01 14:00:00,21.57,61.1,1.674
15,S01,2025-02-01 15:00:00,18.09,39.16,1.091
16,S01,2025-02-01 16:00:00,24.26,51.43,1.516
17,S01,2025-02-01 17:00:00,23.12,44.48,0.402
18,S01,2025-02-01 18:00:00,23.72C,25.21,1.203
19,S01,2025-02-01 19:00:00,18.47,34.06,0.987
20,S01,2025-02-01 20:00:00,28.15,47.7,0.528
21,S01,2025-02-01 21:00:00,23.81,41.77,0.553
22,S01,2025-02-01 22:00:00,22.34C,38.8,1.442
23,S01,2025-02-01 23:00:00,29.74C,55.9,1.041
24,S01,2025-02-02 00:00:00,20.06,43.11,1.551
25,S01,2025-02-02 01:00:00,16.0,48.03,0.848
26,S01,2025-02-02 02:00:00,19.28,52.63,0.748
27,S01,2025-02-02 03:00:00,13.79,40.85,0.542
28,S01,2025-02-02 04:00:00,23.95,51.51,1.907
29,S01,2025-02-02 05:00:00,19.7,35.65,0.763
30,S01,2025-02-02 06:00:00,18.87,32.83,0.604
31,S01,2025-02-02 07:00:00,24.47,55.98,1.709
32,S01,2025-02-02 08:00:00,16.45,57.83,0.172
33,S01,2025-02-02 09:00:00,23.16,52.3,0.683
34,S01,2025-02-02 10:00:00,15.51,37.96,0.642
35,S01,2025-02-02 11:00:00,19.86,41.96,2.91
36,S01,2025-02-02 12:00:00,18.39C,36.23,0.643
37,S01,2025-02-02 13:00:00,26.54,36.2,
38,S01,2025-02-02 14:00:00,27.6,46.51,0.544
39,S01,2025-02-02 15:00:00,21.46,40.68,0.178
40,S01,2025-02-02 16:00:00,25.12,56.36,0.361
41,S01,2025-02-02 17:00:00,22.21,30.13,0.558
42,S01,2025-02-02 18:00:00,24.6,40.18,0.388
43,S01,2025-02-02 19:00:00,20.79,33.43,1.568
44,S01,2025-02-02 20:00:00,18.07,32.58,1.438
45,S01,2025-02-02 21:00:00,17.94,63.23,0.866
46,S01,2025-02-02 22:00:00,24.65C,60.32,1.361
47,S01,2025-02-02 23:00:00,30.39,49.19,0.729
48,S01,2025-02-03 00:00:00,21.01,50.23,1.857
49,S01,2025-02-03 01:00:00,18.78,50.95,0.261
50,S01,2025-02-03 02:00:00,26.24,45.49,0.347
51,S01,2025-02-03 03:00:00,21.36,14.94,0.427
52,S01,2025-02-03 04:00:00,21.1,23.26,1.476
53,S01,2025-02-03 05:00:00,21.71,50.56,1.494
54,S01,2025-02-03 06:00:00,20.7,20.18,0.679
55,S01,2025-02-03 07:00:00,20.32,58.62,1.386
56,S01,2025-02-03 08:00:00,17.1C,52.92,1.254
57,S01,2025-02-03 09:00:00,23.05,47.95,0.68
58,S01,2025-02-03 10:00:00,21.42,48.55,1.511
59,S01,2025-02-03 11:00:00,25.43,51.73,0.341
60,S01,2025-02-03 12:00:00,20.89C,39.07,0.245
61,S01,2025-02-03 13:00:00,16.43,62.76,1.92
62,S01,2025-02-03 14:00:00,22.0,42.37,1.351
63,S01,2025-02-03 15:00:00,27.55,35.95,1.932
64,S01,2025-02-03 16:00:00,21.45,62.87,0.687
65,S01,2025-02-03 17:00:00,20.08,46.24,1.425
66,S01,2025-02-03 18:00:00,19.32,48.13,1.23
67,S01,2025-02-03 19:00:00,19.9,56.55,1.04
68,S01,2025-02-03 20:00:00,22.3,66.27,0.734
69,S01,2025-02-03 21:00:00,19.81,44.55,0.625
70,S01,2025-02-03 22:00:00,27.99,45.93,0.687
71,S01,2025-02-03 23:00:00,22.8C,31.33,
72,S01,2025-02-04 00:00:00,20.53C,45.18,1.026
73,S01,2025-02-04 01:00:00,24.66,61.21,0.48
74,S01,2025-02-04 02:00:00,25.01,37.42,1.073
75,S01,2025-02-04 03:00:00,20.01,36.03,0.92
76,S01,2025-02-04 04:00:00,21.8,28.33,1.58
77,S01,2025-02-04 05:00:00,23.16,32.36,1.234
78,S01,2025-02-04 06:00:00,20.52,32.0,0.973
79,S01,2025-02-04 07:00:00,15.92,45.02,1.195
80,S01,2025-02-04 08:00:00,23.36,47.68,0.747
81,S01,2025-02-04 09:00:00,24.23C,25.15,0.211
82,S01,2025-02-04 10:00:00,22.95,49.07,0.434
83,S01,2025-02-04 11:00:00,19.08,57.56,1.052
84,S01,2025-02-04 12:00:00,21.41,53.19,0.631
85,S01,2025-02-04 13:00:00,20.38,37.5,0.891
86,S01,2025-02-04 14:00:00,21.4,52.95,0.984
