,student_id,gender,grade,region,study_hours,attendance_rate,mid_score,final_score,join_dt
0,1,M,2,Busan,17.0,93.4,,,2024-05-04
1,2,F,1,Seoul,16.2,89.0,67.2,73.8,2024-08-31
2,3,M,3,Seoul,22.3,89.5,68.7,93.5,2024-08-04
3,4,M,2,Etc,12.3,100.0,65.1,86.7,2025-01-10
4,5,M,2,Seoul,9.4,98.3,69.1,,2025-02-27
5,6,M,2,Gyeonggi,5.4,100.0,54.1,83.4,2024-04-25
6,7,M,1,Seoul,7.1,93.5,74.9,79.3,2024-07-02
7,8,F,1,Gyeonggi,4.9,89.1,,43.6,2024-12-23
8,9,F,3,Gyeonggi,10.6,100.0,76.6,81.2,2024-06-17
9,10,M,2,Gyeonggi,2.9,85.3%,51.4,,2025-02-18
10,11,F,1,Busan,2.2,87.1,61.0,81.3,2024-12-01
11,12,F,1,Seoul,0.3,93.5,65.5,63.9,2024-03-15
12,13,M,2,Busan,8.0,93.7,50.9,87.8,2024-07-16
13,14,F,2,Seoul,10.5,84.6,75.1,52.0,2024-06-26
14,15,M,2,Seoul,0.2,90.5,54.9,78.1,2024-03-10
15,16,F,2,Etc,8.5,86.4,39.4,88.9,2024-04-08
16,17,M,3,Seoul,21.0,100.0,59.7,75.7,2024-05-24
17,18,F,3,Seoul,20.0,92.2,55.1,70.7,2024-10-10
18,19,F,3,Gyeonggi,12.9,100.0,99.4,60.0,2024-05-01
19,20,M,3,Gyeonggi,9.0,93.4,89.6,78.6,2024-06-08
20,21,M,2,Seoul,5.9,95.89999999999999%,73.4,98.7,2024-03-21
21,22,M,1,Seoul,11.1,89.2,69.4,60.1,2024-08-26
22,23,F,3,Seoul,,98.1,76.3,88.8,2024-11-01
23,24,F,1,Busan,17.3,100.0,62.6,50.4,2024-10-02
24,25,F,2,Seoul,15.0,97.3%,82.7,100.0,2024-09-14
25,26,M,3,Seoul,12.7,89.2%,64.7,91.5,2025-01-26
26,27,F,1,Seoul,11.7,86.9,68.2,72.5,2024-10-11
27,28,M,3,Etc,6.7,100.0,77.5,63.3,2024-03-10
28,29,M,3,Etc,0.0,85.3%,54.0,83.7,2024-08-06
29,30,M,1,Etc,15.9,88.0,64.4,62.2,2024-10-27
30,31,M,1,Etc,8.0,97.7,63.9,38.5,2024-09-07
